baseline,batch_size,graph,algorithm,measurement_idx,insert_time,algorithm_time
run_std_set,1,com-orkut.ungraph,BFS,0,8e-06,0.02075
run_std_set,1,com-orkut.ungraph,BFS,1,1e-05,0.012395
run_std_set,1,com-orkut.ungraph,BFS,2,9e-06,0.012474
run_std_set,1,com-orkut.ungraph,BFS,3,8e-06,0.01475
run_std_set,1,com-orkut.ungraph,BFS,4,1e-05,0.012216
run_std_set,1,com-orkut.ungraph,BFS,5,8e-06,0.013944
run_std_set,1,com-orkut.ungraph,BFS,6,8e-06,0.013027
run_std_set,1,com-orkut.ungraph,BFS,7,9e-06,0.012023
run_std_set,1,com-orkut.ungraph,BFS,8,1.1e-05,0.012292
run_std_set,1,com-orkut.ungraph,BFS,9,1e-05,0.012144
run_std_set,1,com-orkut.ungraph,LabelPropagation,0,5e-06,0.167484
run_std_set,1,com-orkut.ungraph,LabelPropagation,1,1e-05,0.160872
run_std_set,1,com-orkut.ungraph,LabelPropagation,2,1e-05,0.161752
run_std_set,1,com-orkut.ungraph,LabelPropagation,3,1.1e-05,0.168182
run_std_set,1,com-orkut.ungraph,LabelPropagation,4,1.1e-05,0.165166
run_std_set,1,com-orkut.ungraph,LabelPropagation,5,1e-05,0.161905
run_std_set,1,com-orkut.ungraph,LabelPropagation,6,8e-06,0.161606
run_std_set,1,com-orkut.ungraph,LabelPropagation,7,1e-05,0.163112
run_std_set,1,com-orkut.ungraph,LabelPropagation,8,1e-05,0.161497
run_std_set,1,com-orkut.ungraph,LabelPropagation,9,1.1e-05,0.160754
run_std_set,1,com-orkut.ungraph,PageRank,0,6e-06,2.019096
run_std_set,1,com-orkut.ungraph,PageRank,1,1.6e-05,1.953488
run_std_set,1,com-orkut.ungraph,PageRank,2,1e-05,1.792319
run_std_set,1,com-orkut.ungraph,PageRank,3,1.5e-05,1.770159
run_std_set,1,com-orkut.ungraph,PageRank,4,1.3e-05,1.737135
run_std_set,1,com-orkut.ungraph,PageRank,5,1.5e-05,1.708928
run_std_set,1,com-orkut.ungraph,PageRank,6,1.3e-05,1.645507
run_std_set,1,com-orkut.ungraph,PageRank,7,1.6e-05,1.544101
run_std_set,1,com-orkut.ungraph,PageRank,8,1.6e-05,1.499799
run_std_set,1,com-orkut.ungraph,PageRank,9,1.7e-05,1.38932
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,0,6e-06,3.786546
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,1,1.2e-05,3.768104
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,2,8e-06,3.775277
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,3,9e-06,3.78688
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,4,8e-06,3.789399
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,5,9e-06,3.79533
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,6,9e-06,3.788268
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,7,1.1e-05,3.803551
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,8,1.1e-05,3.80143
run_std_set,1,com-orkut.ungraph,wBFS_unweighted,9,1e-05,3.789102
run_std_set,1,soc-LiveJournal1,BFS,0,7e-06,0.033696
run_std_set,1,soc-LiveJournal1,BFS,1,9e-06,0.030853
run_std_set,1,soc-LiveJournal1,BFS,2,9e-06,0.030769
run_std_set,1,soc-LiveJournal1,BFS,3,8e-06,0.030614
run_std_set,1,soc-LiveJournal1,BFS,4,8e-06,0.030158
run_std_set,1,soc-LiveJournal1,BFS,5,1e-05,0.03065
run_std_set,1,soc-LiveJournal1,BFS,6,9e-06,0.030141
run_std_set,1,soc-LiveJournal1,BFS,7,7e-06,0.030492
run_std_set,1,soc-LiveJournal1,BFS,8,1.1e-05,0.030604
run_std_set,1,soc-LiveJournal1,BFS,9,8e-06,0.03114
run_std_set,1,soc-LiveJournal1,LabelPropagation,0,6e-06,0.067522
run_std_set,1,soc-LiveJournal1,LabelPropagation,1,8e-06,0.065542
run_std_set,1,soc-LiveJournal1,LabelPropagation,2,8e-06,0.065429
run_std_set,1,soc-LiveJournal1,LabelPropagation,3,8e-06,0.0658
run_std_set,1,soc-LiveJournal1,LabelPropagation,4,8e-06,0.066181
run_std_set,1,soc-LiveJournal1,LabelPropagation,5,8e-06,0.065401
run_std_set,1,soc-LiveJournal1,LabelPropagation,6,8e-06,0.065749
run_std_set,1,soc-LiveJournal1,LabelPropagation,7,7e-06,0.065541
run_std_set,1,soc-LiveJournal1,LabelPropagation,8,8e-06,0.066337
run_std_set,1,soc-LiveJournal1,LabelPropagation,9,9e-06,0.067227
run_std_set,1,soc-LiveJournal1,PageRank,0,6e-06,0.852573
run_std_set,1,soc-LiveJournal1,PageRank,1,1.2e-05,0.808217
run_std_set,1,soc-LiveJournal1,PageRank,2,1.2e-05,0.803199
run_std_set,1,soc-LiveJournal1,PageRank,3,1.4e-05,0.783223
run_std_set,1,soc-LiveJournal1,PageRank,4,1.3e-05,0.786826
run_std_set,1,soc-LiveJournal1,PageRank,5,1.1e-05,0.765187
run_std_set,1,soc-LiveJournal1,PageRank,6,9e-06,0.774473
run_std_set,1,soc-LiveJournal1,PageRank,7,1.2e-05,0.735707
run_std_set,1,soc-LiveJournal1,PageRank,8,1.6e-05,0.711773
run_std_set,1,soc-LiveJournal1,PageRank,9,1.4e-05,0.66809
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,0,6e-06,4.924787
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,1,8e-06,4.99275
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,2,9e-06,4.986947
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,3,8e-06,4.95262
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,4,8e-06,4.952018
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,5,7e-06,4.964115
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,6,9e-06,4.975428
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,7,8e-06,5.009824
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,8,8e-06,4.998211
run_std_set,1,soc-LiveJournal1,wBFS_unweighted,9,8e-06,4.973287
run_std_set,1,twitter-unique-undir,BFS,0,1.1e-05,0.338376
run_std_set,1,twitter-unique-undir,BFS,1,1e-05,0.136429
run_std_set,1,twitter-unique-undir,BFS,2,9e-06,0.134399
run_std_set,1,twitter-unique-undir,BFS,3,9e-06,0.135816
run_std_set,1,twitter-unique-undir,BFS,4,1e-05,0.131707
run_std_set,1,twitter-unique-undir,BFS,5,9e-06,0.127387
run_std_set,1,twitter-unique-undir,BFS,6,9e-06,0.126534
run_std_set,1,twitter-unique-undir,BFS,7,8e-06,0.128354
run_std_set,1,twitter-unique-undir,BFS,8,1.1e-05,0.131514
run_std_set,1,twitter-unique-undir,BFS,9,1e-05,0.127963
