baseline,batch_size,graph,algorithm,measurement_idx,insert_time,algorithm_time
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,5,4e-06,3.897555
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,6,4e-06,3.884542
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,7,4e-06,3.889757
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,8,4e-06,3.887678
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,9,4e-06,3.89846
run_pcsr,1,soc-LiveJournal1,BFS,0,4e-06,0.007335
run_pcsr,1,soc-LiveJournal1,BFS,1,2e-06,0.006599
run_pcsr,1,soc-LiveJournal1,BFS,2,2e-06,0.006353
run_pcsr,1,soc-LiveJournal1,BFS,3,2e-06,0.006309
run_pcsr,1,soc-LiveJournal1,BFS,4,2e-06,0.006128
run_pcsr,1,soc-LiveJournal1,BFS,5,2e-06,0.006317
run_pcsr,1,soc-LiveJournal1,BFS,6,2e-06,0.006228
run_pcsr,1,soc-LiveJournal1,BFS,7,2e-06,0.006168
run_pcsr,1,soc-LiveJournal1,BFS,8,2e-06,0.006235
run_pcsr,1,soc-LiveJournal1,BFS,9,2e-06,0.006367
run_pcsr,1,soc-LiveJournal1,LabelPropagation,0,2e-06,0.025592
run_pcsr,1,soc-LiveJournal1,LabelPropagation,1,4e-06,0.023792
run_pcsr,1,soc-LiveJournal1,LabelPropagation,2,3e-06,0.023827
run_pcsr,1,soc-LiveJournal1,LabelPropagation,3,3e-06,0.024332
run_pcsr,1,soc-LiveJournal1,LabelPropagation,4,3e-06,0.023069
run_pcsr,1,soc-LiveJournal1,LabelPropagation,5,3e-06,0.023696
run_pcsr,1,soc-LiveJournal1,LabelPropagation,6,3e-06,0.023221
run_pcsr,1,soc-LiveJournal1,LabelPropagation,7,3e-06,0.023289
run_pcsr,1,soc-LiveJournal1,LabelPropagation,8,3e-06,0.022952
run_pcsr,1,soc-LiveJournal1,LabelPropagation,9,3e-06,0.024034
run_pcsr,1,soc-LiveJournal1,PageRank,0,2e-06,0.166312
run_pcsr,1,soc-LiveJournal1,PageRank,1,4e-06,0.165368
run_pcsr,1,soc-LiveJournal1,PageRank,2,4e-06,0.164137
run_pcsr,1,soc-LiveJournal1,PageRank,3,4e-06,0.154219
run_pcsr,1,soc-LiveJournal1,PageRank,4,6e-06,0.157244
run_pcsr,1,soc-LiveJournal1,PageRank,5,5e-06,0.162412
run_pcsr,1,soc-LiveJournal1,PageRank,6,5e-06,0.15466
run_pcsr,1,soc-LiveJournal1,PageRank,7,4e-06,0.155711
run_pcsr,1,soc-LiveJournal1,PageRank,8,3e-06,0.164349
run_pcsr,1,soc-LiveJournal1,PageRank,9,4e-06,0.148949
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,0,3e-06,5.469617
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,1,4e-06,5.444296
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,2,5e-06,5.453912
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,3,6e-06,5.550253
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,4,5e-06,5.463583
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,5,5e-06,5.460527
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,6,6e-06,5.807111
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,7,9e-06,5.563006
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,8,8e-06,5.589103
run_pcsr,1,soc-LiveJournal1,wBFS_unweighted,9,9e-06,5.548148
run_pcsr,1,twitter-unique-undir,BFS,0,2e-06,0.042735
run_pcsr,1,twitter-unique-undir,BFS,1,3e-06,0.042201
run_pcsr,1,twitter-unique-undir,BFS,2,4e-06,0.038583
run_pcsr,1,twitter-unique-undir,BFS,3,6e-06,0.041321
run_pcsr,1,twitter-unique-undir,BFS,4,4e-06,0.040415
run_pcsr,1,twitter-unique-undir,BFS,5,4e-06,0.03827
run_pcsr,1,twitter-unique-undir,BFS,6,4e-06,0.04275
run_pcsr,1,twitter-unique-undir,BFS,7,4e-06,0.03857
run_pcsr,1,twitter-unique-undir,BFS,8,7e-06,0.043066
run_pcsr,1,twitter-unique-undir,BFS,9,4e-06,0.041484
run_pcsr,1,twitter-unique-undir,LabelPropagation,0,3e-06,1.083505
run_pcsr,1,twitter-unique-undir,LabelPropagation,1,5e-06,1.080963
run_pcsr,1,twitter-unique-undir,LabelPropagation,2,5e-06,1.101492
run_pcsr,1,twitter-unique-undir,LabelPropagation,3,5e-06,1.082213
run_pcsr,1,twitter-unique-undir,LabelPropagation,4,5e-06,1.085969
run_pcsr,1,twitter-unique-undir,LabelPropagation,5,6e-06,1.11529
run_pcsr,1,twitter-unique-undir,LabelPropagation,6,5e-06,1.074965
run_pcsr,1,twitter-unique-undir,LabelPropagation,7,5e-06,1.095009
run_pcsr,1,twitter-unique-undir,LabelPropagation,8,5e-06,1.076692
