baseline,batch_size,graph,algorithm,measurement_idx,value1,value2
run_absl_btree_set,1,com-friendster,wBFS_unweighted,3,1.3e-05,45.870643
run_absl_btree_set,1,com-friendster,wBFS_unweighted,4,1.3e-05,45.533002
run_absl_btree_set,1,com-friendster,wBFS_unweighted,5,1e-05,45.647238
run_absl_btree_set,1,com-friendster,wBFS_unweighted,6,1.1e-05,45.913356
run_absl_btree_set,1,com-friendster,wBFS_unweighted,7,1.2e-05,46.540599
run_absl_btree_set,1,com-friendster,wBFS_unweighted,8,1.2e-05,49.980431
run_absl_btree_set,1,com-friendster,wBFS_unweighted,9,1.2e-05,49.561773
run_absl_btree_set,1,com-orkut.ungraph,BFS,0,5e-06,0.012075
run_absl_btree_set,1,com-orkut.ungraph,BFS,1,9e-06,0.007563
run_absl_btree_set,1,com-orkut.ungraph,BFS,2,9e-06,0.007249
run_absl_btree_set,1,com-orkut.ungraph,BFS,3,8e-06,0.007376
run_absl_btree_set,1,com-orkut.ungraph,BFS,4,5e-06,0.007387
run_absl_btree_set,1,com-orkut.ungraph,BFS,5,6e-06,0.007551
run_absl_btree_set,1,com-orkut.ungraph,BFS,6,6e-06,0.007533
run_absl_btree_set,1,com-orkut.ungraph,BFS,7,5e-06,0.007617
run_absl_btree_set,1,com-orkut.ungraph,BFS,8,6e-06,0.007325
run_absl_btree_set,1,com-orkut.ungraph,BFS,9,7e-06,0.007375
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,0,7e-06,0.051381
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,1,1e-05,0.046119
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,2,1e-05,0.045303
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,3,1.1e-05,0.045726
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,4,1.1e-05,0.046217
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,5,1e-05,0.045297
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,6,9e-06,0.046219
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,7,1e-05,0.04626
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,8,1e-05,0.045687
run_absl_btree_set,1,com-orkut.ungraph,LabelPropagation,9,1.2e-05,0.04514
run_absl_btree_set,1,com-orkut.ungraph,PageRank,0,6e-06,0.324401
run_absl_btree_set,1,com-orkut.ungraph,PageRank,1,1e-05,0.344793
run_absl_btree_set,1,com-orkut.ungraph,PageRank,2,1e-05,0.364795
run_absl_btree_set,1,com-orkut.ungraph,PageRank,3,1.1e-05,0.346283
run_absl_btree_set,1,com-orkut.ungraph,PageRank,4,8e-06,0.335088
run_absl_btree_set,1,com-orkut.ungraph,PageRank,5,1.2e-05,0.336802
run_absl_btree_set,1,com-orkut.ungraph,PageRank,6,1.3e-05,0.34654
run_absl_btree_set,1,com-orkut.ungraph,PageRank,7,1.1e-05,0.346504
run_absl_btree_set,1,com-orkut.ungraph,PageRank,8,1.1e-05,0.329287
run_absl_btree_set,1,com-orkut.ungraph,PageRank,9,1.3e-05,0.33648
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,0,6e-06,3.869253
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,1,1e-05,3.748543
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,2,1.1e-05,3.719855
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,3,1.3e-05,3.692369
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,4,1e-05,3.697316
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,5,1e-05,3.739703
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,6,1.2e-05,4.022387
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,7,1.1e-05,4.011356
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,8,1e-05,3.796682
run_absl_btree_set,1,com-orkut.ungraph,wBFS_unweighted,9,2.4e-05,3.759118
run_absl_btree_set,1,soc-LiveJournal1,BFS,0,4e-06,0.015679
run_absl_btree_set,1,soc-LiveJournal1,BFS,1,9e-06,0.011873
run_absl_btree_set,1,soc-LiveJournal1,BFS,2,8e-06,0.011531
run_absl_btree_set,1,soc-LiveJournal1,BFS,3,8e-06,0.01146
run_absl_btree_set,1,soc-LiveJournal1,BFS,4,1e-05,0.011537
run_absl_btree_set,1,soc-LiveJournal1,BFS,5,9e-06,0.011584
run_absl_btree_set,1,soc-LiveJournal1,BFS,6,1e-05,0.011615
run_absl_btree_set,1,soc-LiveJournal1,BFS,7,9e-06,0.011633
run_absl_btree_set,1,soc-LiveJournal1,BFS,8,7e-06,0.011776
run_absl_btree_set,1,soc-LiveJournal1,BFS,9,1.1e-05,0.011383
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,0,6e-06,0.033909
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,1,1e-05,0.02698
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,2,8e-06,0.027505
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,3,9e-06,0.02743
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,4,1.1e-05,0.02714
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,5,1.1e-05,0.02747
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,6,1.2e-05,0.027307
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,7,1e-05,0.02699
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,8,1.2e-05,0.027568
run_absl_btree_set,1,soc-LiveJournal1,LabelPropagation,9,1.1e-05,0.027645
run_absl_btree_set,1,soc-LiveJournal1,PageRank,0,6e-06,0.19078
run_absl_btree_set,1,soc-LiveJournal1,PageRank,1,1e-05,0.186953
run_absl_btree_set,1,soc-LiveJournal1,PageRank,2,9e-06,0.191875
run_absl_btree_set,1,soc-LiveJournal1,PageRank,3,1.1e-05,0.198651
run_absl_btree_set,1,soc-LiveJournal1,PageRank,4,1.2e-05,0.191476
run_absl_btree_set,1,soc-LiveJournal1,PageRank,5,1.4e-05,0.188926
run_absl_btree_set,1,soc-LiveJournal1,PageRank,6,1.2e-05,0.2061
run_absl_btree_set,1,soc-LiveJournal1,PageRank,7,1.4e-05,0.205519
run_absl_btree_set,1,soc-LiveJournal1,PageRank,8,1.4e-05,0.197589
run_absl_btree_set,1,soc-LiveJournal1,PageRank,9,1.3e-05,0.194832
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,0,6e-06,5.024059
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,1,1e-05,4.998209
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,2,1.1e-05,5.327012
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,3,3.6e-05,5.085266
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,4,1.3e-05,5.031569
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,5,9e-06,5.273181
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,6,9e-06,5.133624
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,7,1.2e-05,5.07591
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,8,9e-06,4.946294
run_absl_btree_set,1,soc-LiveJournal1,wBFS_unweighted,9,1.1e-05,5.214824
run_absl_btree_set,1,twitter-unique-undir,BFS,0,5.8e-05,0.226024
run_absl_btree_set,1,twitter-unique-undir,BFS,1,1.3e-05,0.096577
run_absl_btree_set,1,twitter-unique-undir,BFS,2,9e-06,0.094749
run_absl_btree_set,1,twitter-unique-undir,BFS,3,1.4e-05,0.096612
run_absl_btree_set,1,twitter-unique-undir,BFS,4,1e-05,0.096854
run_absl_btree_set,1,twitter-unique-undir,BFS,5,1.1e-05,0.095222
run_absl_btree_set,1,twitter-unique-undir,BFS,6,1.2e-05,0.096332
run_absl_btree_set,1,twitter-unique-undir,BFS,7,1.2e-05,0.094708
run_absl_btree_set,1,twitter-unique-undir,BFS,8,1.1e-05,0.098663
run_absl_btree_set,1,twitter-unique-undir,BFS,9,1e-05,0.094953
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,0,2.7e-05,1.39427
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,1,1.2e-05,1.218121
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,2,1.2e-05,1.233868
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,3,1.3e-05,1.219923
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,4,1.2e-05,1.23498
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,5,9e-06,1.205559
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,6,1.1e-05,1.212209
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,7,1e-05,1.212973
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,8,1e-05,1.225546
run_absl_btree_set,1,twitter-unique-undir,LabelPropagation,9,1.2e-05,1.217221
run_absl_btree_set,1,twitter-unique-undir,PageRank,0,1.7e-05,8.141412
run_absl_btree_set,1,twitter-unique-undir,PageRank,1,1.2e-05,7.482179
run_absl_btree_set,1,twitter-unique-undir,PageRank,2,1e-05,7.415123
run_absl_btree_set,1,twitter-unique-undir,PageRank,3,1.1e-05,7.396985
run_absl_btree_set,1,twitter-unique-undir,PageRank,4,1.5e-05,7.391609
run_absl_btree_set,1,twitter-unique-undir,PageRank,5,1.2e-05,7.630489
run_absl_btree_set,1,twitter-unique-undir,PageRank,6,1.5e-05,8.311911
run_absl_btree_set,1,twitter-unique-undir,PageRank,7,1.1e-05,7.240648
run_absl_btree_set,1,twitter-unique-undir,PageRank,8,1.5e-05,6.856081
run_absl_btree_set,1,twitter-unique-undir,PageRank,9,1.2e-05,6.805748
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,0,1e-05,31.370178
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,1,1.4e-05,29.45339
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,2,1.1e-05,29.58388
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,3,1.1e-05,29.17488
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,4,1.1e-05,29.49603
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,5,1e-05,29.981596
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,6,1.4e-05,29.285706
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,7,1e-05,29.717256
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,8,1.2e-05,31.199112
run_absl_btree_set,1,twitter-unique-undir,wBFS_unweighted,9,1.1e-05,30.699625
run_absl_btree_set,10,cit-Patents,BFS,0,2.3e-05,0.015642
run_absl_btree_set,10,cit-Patents,BFS,1,2.5e-05,0.011842
run_absl_btree_set,10,cit-Patents,BFS,2,2.8e-05,0.011872
run_absl_btree_set,10,cit-Patents,BFS,3,2.6e-05,0.011883
run_absl_btree_set,10,cit-Patents,BFS,4,2.7e-05,0.011853
run_absl_btree_set,10,cit-Patents,BFS,5,2.7e-05,0.011828
run_absl_btree_set,10,cit-Patents,BFS,6,2.6e-05,0.01185
run_absl_btree_set,10,cit-Patents,BFS,7,2.6e-05,0.011826
run_absl_btree_set,10,cit-Patents,BFS,8,2.6e-05,0.011836
run_absl_btree_set,10,cit-Patents,BFS,9,2.6e-05,0.011855
run_absl_btree_set,10,cit-Patents,LabelPropagation,0,2.3e-05,0.031484
run_absl_btree_set,10,cit-Patents,LabelPropagation,1,3.7e-05,0.029197
run_absl_btree_set,10,cit-Patents,LabelPropagation,2,5.5e-05,0.02932
run_absl_btree_set,10,cit-Patents,LabelPropagation,3,3.7e-05,0.031056
run_absl_btree_set,10,cit-Patents,LabelPropagation,4,3.7e-05,0.030013
run_absl_btree_set,10,cit-Patents,LabelPropagation,5,3.8e-05,0.030146
run_absl_btree_set,10,cit-Patents,LabelPropagation,6,4.3e-05,0.02984
run_absl_btree_set,10,cit-Patents,LabelPropagation,7,2.9e-05,0.02986
run_absl_btree_set,10,cit-Patents,LabelPropagation,8,2.4e-05,0.030211
run_absl_btree_set,10,cit-Patents,LabelPropagation,9,3.8e-05,0.02965
run_absl_btree_set,10,cit-Patents,PageRank,0,2.9e-05,0.167397
run_absl_btree_set,10,cit-Patents,PageRank,1,4.8e-05,0.166623
run_absl_btree_set,10,cit-Patents,PageRank,2,5.4e-05,0.165205
run_absl_btree_set,10,cit-Patents,PageRank,3,5.1e-05,0.175204
run_absl_btree_set,10,cit-Patents,PageRank,4,5.2e-05,0.176114
run_absl_btree_set,10,cit-Patents,PageRank,5,4.5e-05,0.173314
run_absl_btree_set,10,cit-Patents,PageRank,6,0.000353,0.176262
run_absl_btree_set,10,cit-Patents,PageRank,7,5.3e-05,0.170625
run_absl_btree_set,10,cit-Patents,PageRank,8,6.4e-05,0.176127
run_absl_btree_set,10,cit-Patents,PageRank,9,4.7e-05,0.171923
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,0,2e-05,5.327094
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,1,3.3e-05,5.236981
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,2,3.2e-05,5.329186
