baseline,graph,batch_size,measurement_idx,insert_time_PageRank,algorithm_time_PageRank,insert_time_LabelPropagation,algorithm_time_LabelPropagation,insert_time_wBFS_unweighted,algorithm_time_wBFS_unweighted,insert_time_BFS,algorithm_time_BFS
run_absl_btree_set,twitter-unique-undir,1,9,1.2e-05,6.805748,1.2e-05,1.217221,1.1e-05,30.699625,1e-05,0.094953
run_absl_btree_set,com-friendster,1,0,5e-06,25.971629,8e-06,6.181177,8e-06,49.578598,6e-06,4.110719
run_absl_btree_set,com-friendster,1,1,1.4e-05,24.006803,1.3e-05,4.319017,1.3e-05,47.129247,1.4e-05,2.569955
run_absl_btree_set,com-friendster,1,2,1.2e-05,21.598031,1.5e-05,4.123277,1.2e-05,46.709458,1.3e-05,2.556419
run_absl_btree_set,com-friendster,1,3,1.2e-05,31.895232,1.2e-05,4.114868,1.3e-05,45.870643,1.3e-05,2.541873
run_absl_btree_set,com-friendster,1,4,1.2e-05,26.906136,1.4e-05,3.9633,1.3e-05,45.533002,1.5e-05,2.527103
run_absl_btree_set,com-friendster,1,5,2e-05,25.750201,2.5e-05,4.067377,1e-05,45.647238,1.6e-05,2.491754
run_absl_btree_set,com-friendster,1,6,1.1e-05,22.103495,1.4e-05,3.838762,1.1e-05,45.913356,1.3e-05,2.464487
run_absl_btree_set,com-friendster,1,7,1.3e-05,23.072009,1.2e-05,3.840992,1.2e-05,46.540599,1.5e-05,2.440676
run_absl_btree_set,com-friendster,1,8,1.3e-05,25.110346,1.4e-05,3.837116,1.2e-05,49.980431,1.5e-05,2.489281
run_absl_btree_set,com-friendster,1,9,1.3e-05,27.340466,1.5e-05,3.88895,1.2e-05,49.561773,1.4e-05,2.516796
run_absl_btree_set,com-orkut.ungraph,10,0,2.4e-05,0.351914,2.2e-05,0.048324,2.7e-05,3.892118,1.6e-05,0.014095
run_absl_btree_set,com-orkut.ungraph,10,1,2.9e-05,0.339054,3.4e-05,0.048838,3.4e-05,3.722492,2.1e-05,0.00956
run_absl_btree_set,com-orkut.ungraph,10,2,2.8e-05,0.344937,4.4e-05,0.048025,5e-05,3.67318,1.8e-05,0.006154
run_absl_btree_set,com-orkut.ungraph,10,3,3.5e-05,0.349092,4.7e-05,0.050861,3.7e-05,3.711117,1.8e-05,0.006287
run_absl_btree_set,com-orkut.ungraph,10,4,3.3e-05,0.336451,3.2e-05,0.046879,5.6e-05,3.689202,1.9e-05,0.005952
run_absl_btree_set,com-orkut.ungraph,10,5,2.9e-05,0.317587,4.4e-05,0.046715,3.5e-05,3.647604,2e-05,0.006114
run_absl_btree_set,com-orkut.ungraph,10,6,3.6e-05,0.338648,5.3e-05,0.046632,6.2e-05,3.683497,2.1e-05,0.006095
run_absl_btree_set,com-orkut.ungraph,10,7,3.1e-05,0.336982,3.3e-05,0.046674,3.6e-05,3.745234,1.9e-05,0.005932
run_absl_btree_set,com-orkut.ungraph,10,8,3.3e-05,0.343131,3.1e-05,0.046675,0.000334,3.891766,2e-05,0.006056
run_absl_btree_set,com-orkut.ungraph,10,9,3.5e-05,0.316503,4.6e-05,0.04603,3.2e-05,3.686845,2.1e-05,0.006018
run_absl_btree_set,cit-Patents,10,0,2.9e-05,0.167397,2.3e-05,0.031484,2e-05,5.327094,2.3e-05,0.015642
run_absl_btree_set,cit-Patents,10,1,4.8e-05,0.166623,3.7e-05,0.029197,3.3e-05,5.236981,2.5e-05,0.011842
run_absl_btree_set,cit-Patents,10,2,5.4e-05,0.165205,5.5e-05,0.02932,3.2e-05,5.329186,2.8e-05,0.011872
run_absl_btree_set,cit-Patents,10,3,5.1e-05,0.175204,3.7e-05,0.031056,3.1e-05,5.366496,2.6e-05,0.011883
run_absl_btree_set,cit-Patents,10,4,5.2e-05,0.176114,3.7e-05,0.030013,4e-05,5.310941,2.7e-05,0.011853
run_absl_btree_set,cit-Patents,10,5,4.5e-05,0.173314,3.8e-05,0.030146,3.4e-05,5.25698,2.7e-05,0.011828
run_absl_btree_set,cit-Patents,10,6,0.000353,0.176262,4.3e-05,0.02984,3.1e-05,5.245981,2.6e-05,0.01185
run_absl_btree_set,cit-Patents,10,7,5.3e-05,0.170625,2.9e-05,0.02986,3.2e-05,5.251497,2.6e-05,0.011826
run_absl_btree_set,cit-Patents,10,8,6.4e-05,0.176127,2.4e-05,0.030211,3.1e-05,5.278196,2.6e-05,0.011836
run_absl_btree_set,cit-Patents,10,9,4.7e-05,0.171923,3.8e-05,0.02965,3.3e-05,5.372993,2.6e-05,0.011855
run_absl_btree_set,soc-LiveJournal1,10,0,2e-05,0.222248,3.2e-05,0.031596,1.6e-05,5.316461,2.2e-05,0.015735
run_absl_btree_set,soc-LiveJournal1,10,1,3.7e-05,0.225384,4.9e-05,0.028912,3.3e-05,5.242854,2.1e-05,0.008807
run_absl_btree_set,soc-LiveJournal1,10,2,3.7e-05,0.221641,4.4e-05,0.028985,3.5e-05,5.23777,2.2e-05,0.008726
run_absl_btree_set,soc-LiveJournal1,10,3,3.1e-05,0.225271,4e-05,0.028555,4.6e-05,5.592193,2.2e-05,0.008828
