baseline,batch_size,graph,algorithm,measurement_idx,value1,value2
run_vector_cpam,1,com-friendster,wBFS_unweighted,3,1.6e-05,76.845282
run_vector_cpam,1,com-friendster,wBFS_unweighted,4,1.3e-05,75.462615
run_vector_cpam,1,com-friendster,wBFS_unweighted,5,1.7e-05,72.851878
run_vector_cpam,1,com-friendster,wBFS_unweighted,6,1.2e-05,74.410231
run_vector_cpam,1,com-friendster,wBFS_unweighted,7,1.5e-05,73.904967
run_vector_cpam,1,com-friendster,wBFS_unweighted,8,1.4e-05,77.344801
run_vector_cpam,1,com-friendster,wBFS_unweighted,9,1.1e-05,71.709936
run_vector_cpam,1,com-orkut.ungraph,BFS,0,6e-06,0.005101
run_vector_cpam,1,com-orkut.ungraph,BFS,1,7e-06,0.004706
run_vector_cpam,1,com-orkut.ungraph,BFS,2,9e-06,0.004629
run_vector_cpam,1,com-orkut.ungraph,BFS,3,8e-06,0.004906
run_vector_cpam,1,com-orkut.ungraph,BFS,4,1e-05,0.004658
run_vector_cpam,1,com-orkut.ungraph,BFS,5,9e-06,0.00466
run_vector_cpam,1,com-orkut.ungraph,BFS,6,7e-06,0.004665
run_vector_cpam,1,com-orkut.ungraph,BFS,7,1e-05,0.004615
run_vector_cpam,1,com-orkut.ungraph,BFS,8,9e-06,0.006377
run_vector_cpam,1,com-orkut.ungraph,BFS,9,2.2e-05,0.00611
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,0,5e-06,0.037829
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,1,1e-05,0.037418
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,2,1.2e-05,0.037701
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,3,1.2e-05,0.037517
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,4,1.3e-05,0.037634
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,5,1.3e-05,0.037379
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,6,1e-05,0.037772
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,7,1.4e-05,0.037998
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,8,1.2e-05,0.038422
run_vector_cpam,1,com-orkut.ungraph,LabelPropagation,9,2.4e-05,0.037992
run_vector_cpam,1,com-orkut.ungraph,PageRank,0,5e-06,0.22476
run_vector_cpam,1,com-orkut.ungraph,PageRank,1,1.1e-05,0.224651
run_vector_cpam,1,com-orkut.ungraph,PageRank,2,1.3e-05,0.227757
run_vector_cpam,1,com-orkut.ungraph,PageRank,3,1.2e-05,0.217441
run_vector_cpam,1,com-orkut.ungraph,PageRank,4,1.5e-05,0.222163
run_vector_cpam,1,com-orkut.ungraph,PageRank,5,1.3e-05,0.228464
run_vector_cpam,1,com-orkut.ungraph,PageRank,6,1e-05,0.221057
run_vector_cpam,1,com-orkut.ungraph,PageRank,7,1.6e-05,0.21943
run_vector_cpam,1,com-orkut.ungraph,PageRank,8,1.3e-05,0.22543
run_vector_cpam,1,com-orkut.ungraph,PageRank,9,2.2e-05,0.223124
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,0,6e-06,3.131007
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,1,1e-05,3.11313
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,2,1.3e-05,3.196999
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,3,1.4e-05,3.140842
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,4,1.5e-05,3.161521
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,5,1.2e-05,3.121446
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,6,1.4e-05,3.211593
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,7,1.5e-05,3.13577
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,8,1.6e-05,3.121589
run_vector_cpam,1,com-orkut.ungraph,wBFS_unweighted,9,3e-05,3.108956
run_vector_cpam,1,soc-LiveJournal1,BFS,0,6e-06,0.007914
run_vector_cpam,1,soc-LiveJournal1,BFS,1,8e-06,0.006429
run_vector_cpam,1,soc-LiveJournal1,BFS,2,1.1e-05,0.006446
run_vector_cpam,1,soc-LiveJournal1,BFS,3,9e-06,0.006476
run_vector_cpam,1,soc-LiveJournal1,BFS,4,7e-06,0.006436
run_vector_cpam,1,soc-LiveJournal1,BFS,5,1.1e-05,0.007535
run_vector_cpam,1,soc-LiveJournal1,BFS,6,8e-06,0.006229
run_vector_cpam,1,soc-LiveJournal1,BFS,7,1.2e-05,0.00638
run_vector_cpam,1,soc-LiveJournal1,BFS,8,8e-06,0.006475
run_vector_cpam,1,soc-LiveJournal1,BFS,9,9e-06,0.006429
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,0,6e-06,0.024515
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,1,1.2e-05,0.024333
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,2,1.5e-05,0.023345
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,3,1e-05,0.023997
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,4,8e-06,0.024112
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,5,1.6e-05,0.024213
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,6,1e-05,0.024092
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,7,1.5e-05,0.024735
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,8,1.1e-05,0.024508
run_vector_cpam,1,soc-LiveJournal1,LabelPropagation,9,1.2e-05,0.024977
run_vector_cpam,1,soc-LiveJournal1,PageRank,0,5e-06,0.180459
run_vector_cpam,1,soc-LiveJournal1,PageRank,1,1.3e-05,0.17497
run_vector_cpam,1,soc-LiveJournal1,PageRank,2,1.6e-05,0.180231
run_vector_cpam,1,soc-LiveJournal1,PageRank,3,1.2e-05,0.180841
run_vector_cpam,1,soc-LiveJournal1,PageRank,4,9e-06,0.181473
run_vector_cpam,1,soc-LiveJournal1,PageRank,5,1.6e-05,0.181576
run_vector_cpam,1,soc-LiveJournal1,PageRank,6,1.3e-05,0.179665
run_vector_cpam,1,soc-LiveJournal1,PageRank,7,1.7e-05,0.177145
run_vector_cpam,1,soc-LiveJournal1,PageRank,8,1.2e-05,0.18647
run_vector_cpam,1,soc-LiveJournal1,PageRank,9,1.5e-05,0.180707
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,0,6e-06,4.868703
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,1,1.2e-05,4.783345
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,2,1.7e-05,4.884658
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,3,1.3e-05,4.814592
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,4,9e-06,4.834854
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,5,1.9e-05,4.772082
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,6,1e-05,4.784878
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,7,1.8e-05,4.812059
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,8,1.3e-05,4.811576
run_vector_cpam,1,soc-LiveJournal1,wBFS_unweighted,9,1.1e-05,4.792457
run_vector_cpam,1,twitter-unique-undir,BFS,0,5.5e-05,0.036026
run_vector_cpam,1,twitter-unique-undir,BFS,1,2.4e-05,0.035215
run_vector_cpam,1,twitter-unique-undir,BFS,2,1e-05,0.03598
run_vector_cpam,1,twitter-unique-undir,BFS,3,1.9e-05,0.03561
run_vector_cpam,1,twitter-unique-undir,BFS,4,1.7e-05,0.035896
run_vector_cpam,1,twitter-unique-undir,BFS,5,1.4e-05,0.035626
run_vector_cpam,1,twitter-unique-undir,BFS,6,1.7e-05,0.036072
run_vector_cpam,1,twitter-unique-undir,BFS,7,1.2e-05,0.035525
run_vector_cpam,1,twitter-unique-undir,BFS,8,1.5e-05,0.035591
run_vector_cpam,1,twitter-unique-undir,BFS,9,1.2e-05,0.035617
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,0,4.3e-05,1.629794
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,1,2.5e-05,1.638922
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,2,1.2e-05,1.616985
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,3,2.1e-05,1.629032
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,4,2e-05,1.617409
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,5,1.8e-05,1.610423
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,6,2.1e-05,1.611332
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,7,1.7e-05,1.612727
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,8,1.6e-05,1.598203
run_vector_cpam,1,twitter-unique-undir,LabelPropagation,9,1.3e-05,1.607209
run_vector_cpam,1,twitter-unique-undir,PageRank,0,3.7e-05,9.071381
